ROE[ PSZ]	TaskID	LineNum	RepeatIndex	Node	PID	ReturnCode	Elapsed	Start	Finish	BytesOfLeakedOutput	OutputSnippet	BytesOfLeakedError	ErrorSnippet	Command
    	0	5	-1	worker6185	2628862	0	229.275	1785326455.834	1785326685.110	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry trivial --U 4 --chi 8 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	1	6	-1	worker6185	2628864	0	243.288	1785326455.840	1785326699.127	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry trivial --U 4 --chi 16 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	2	7	-1	worker6185	2628865	0	281.327	1785326455.840	1785326737.167	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry trivial --U 4 --chi 24 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	20	25	-1	worker6185	2629081	0	290.326	1785326455.972	1785326746.298	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry u1 --U 4 --chi 8 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	10	15	-1	worker6185	2628935	0	293.316	1785326455.893	1785326749.209	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry trivial --U 4 --chi 8 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	11	16	-1	worker6185	2628963	0	315.350	1785326455.900	1785326771.250	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry trivial --U 4 --chi 16 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	21	26	-1	worker6185	2629088	0	315.361	1785326455.977	1785326771.338	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry u1 --U 4 --chi 16 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	12	17	-1	worker6185	2628971	0	330.364	1785326455.903	1785326786.266	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry trivial --U 4 --chi 24 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	22	27	-1	worker6185	2629096	0	331.374	1785326455.985	1785326787.359	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry u1 --U 4 --chi 24 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	3	8	-1	worker6185	2628904	0	363.410	1785326455.840	1785326819.250	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry trivial --U 4 --chi 32 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	13	18	-1	worker6185	2628980	0	365.398	1785326455.906	1785326821.304	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry trivial --U 4 --chi 32 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	23	28	-1	worker6185	2629101	0	369.411	1785326455.991	1785326825.403	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry u1 --U 4 --chi 32 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	30	35	-1	worker6185	2629177	0	369.425	1785326456.063	1785326825.489	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry u1 --U 4 --chi 8 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	31	36	-1	worker6185	2629189	0	443.496	1785326456.076	1785326899.572	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry u1 --U 4 --chi 16 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	24	29	-1	worker6185	2629113	0	483.533	1785326456.003	1785326939.536	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry u1 --U 4 --chi 48 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	14	19	-1	worker6185	2629013	0	487.522	1785326455.924	1785326943.446	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry trivial --U 4 --chi 48 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
    	32	37	-1	worker6185	2629202	0	571.626	1785326456.091	1785327027.717	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry u1 --U 4 --chi 24 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2 --lattice hex --size 4 4 --dt 0.05 --nsteps 32 --measure-every 8 > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench2/logs/task_${DISBATCH_TASKID}.log 2>&1
