ROE[ PSZ]	TaskID	LineNum	RepeatIndex	Node	PID	ReturnCode	Elapsed	Start	Finish	BytesOfLeakedOutput	OutputSnippet	BytesOfLeakedError	ErrorSnippet	Command
    	0	5	-1	worker6072	994637	0	213.244	1785286230.342	1785286443.586	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry trivial --U 4 --chi 8 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	1	6	-1	worker6072	994668	0	214.254	1785286230.348	1785286444.602	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry trivial --U 4 --chi 16 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	2	7	-1	worker6072	994667	0	223.270	1785286230.349	1785286453.619	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry trivial --U 4 --chi 24 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	3	8	-1	worker6072	994660	0	235.278	1785286230.353	1785286465.631	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry trivial --U 4 --chi 32 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	16	21	-1	worker6072	994809	0	239.266	1785286230.443	1785286469.709	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry u1 --U 4 --chi 8 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	8	13	-1	worker6072	994702	0	243.273	1785286230.387	1785286473.660	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry trivial --U 4 --chi 8 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	17	22	-1	worker6072	994822	0	243.280	1785286230.451	1785286473.731	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry u1 --U 4 --chi 16 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	9	14	-1	worker6072	994723	0	247.277	1785286230.394	1785286477.671	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry trivial --U 4 --chi 16 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	10	15	-1	worker6072	994709	0	248.276	1785286230.396	1785286478.672	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry trivial --U 4 --chi 24 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	18	23	-1	worker6072	994835	0	249.281	1785286230.463	1785286479.744	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry u1 --U 4 --chi 24 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	11	16	-1	worker6072	994739	0	253.283	1785286230.408	1785286483.691	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry trivial --U 4 --chi 32 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	19	24	-1	worker6072	994849	0	254.279	1785286230.470	1785286484.749	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry u1 --U 4 --chi 32 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	24	29	-1	worker6072	994897	0	255.297	1785286230.514	1785286485.811	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry u1 --U 4 --chi 8 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	12	17	-1	worker6072	994757	0	268.299	1785286230.415	1785286498.714	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry trivial --U 4 --chi 48 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
